source,is_sponsored,job_id,job_url,title,location,company_logo,company,company_url,categories,primary_category,job_type,salary,posted_date
web3.career,False,104686,https://web3.career/defi-technical-lead-evm-trilitech/104686,DeFi Technical Lead (EVM),,,,,,,,,
web3.career,False,104670,https://web3.career/senior-full-stack-engineer-platform-chaoslabs/104670,Senior Full Stack Engineer Platm,Remote,,,,,,,,
web3.career,False,104669,https://web3.career/blockchain-cto-remotely-robusta/104669,Blockchain CTO Remotely,Remote,,,,,,,,
web3.career,False,104668,https://web3.career/python-soft-engineer-junior-mid-ai-agents-crypto-almanak/104668,entry level,Remote,,,,,,,,
web3.career,False,104667,https://web3.career/senior-product-manager-crypto-superlogic/104667,product manager,Remote,,,,,,,,
web3.career,False,,https://web3.career/metana,Bootcamp Info,,https://sh.web3.career/assets/img/other/1pix.png,,,,,,,
web3.career,False,104666,https://web3.career/senior-defi-bd-distributedcrafts/104666,business development,Remote,,,,,,,,
web3.career,False,104665,https://web3.career/people-relations-specialist-coinbase/104665,People Relations Specialist,hrnon techrecruiterremoteblockchain,,,,,,,,
web3.career,False,104663,https://web3.career/senior-manager-developer-relations-and-ecosystem-marketing-apac-circle/104663,developer relations,,,,,,,,,
web3.career,False,104659,https://web3.career/analytics-engineering-manager-base/104659,Analytics Engineering Manager,executiveengineerstatsremote,,,,,,,,
web3.career,False,104658,https://web3.career/principal-software-engineer-rust-python-fmr/104658,United States,,,,,,,,,
web3.career,False,104657,https://web3.career/consulting-partner-commercial-financial-services-guidehouse/104657,Los Angeles,,,,,,,,,
